Country,money,CO2_modeled,CO2_actual,error
Aruba,#N/A,52.7099068431139,0,52.7099068431139
Afghanistan,8.3,3267.82152868544,2963.764,304.05752868544
Angola,1.5,3394.45688742148,9760.964,-6366.50711257852
Albania,2,610.139012699287,915.613,-305.473987300713
Andorra,-4.8,57.0805772568944,27.399,29.6815772568944
United Arab Emirates,4.7,5228.72627289445,7433.598,-2204.87172710555
Argentina,-0.300000000000001,12791.7509723123,38020.497,-25228.7460276877
Armenia,3.7,608.267484791074,695.537,-87.269515208926
Antigua and Barbuda,#N/A,34.0945025628263,31.018,3.0765025628263
Australia,-3.2,20741.5108445072,52206.812,-31465.3011554928
Austria,-1.3,7926.69747535068,7135.105,791.592475350681
Azerbaijan,6.7,1724.45231260205,4111.55,-2387.09768739795
Burundi,-0.300000000000001,1082.16417574697,855.289,226.87517574697
Belgium,-2,9909.13095479996,16136.82,-6227.68904520004
Benin,6.9,1216.84409712684,1508.253,-291.40890287316
Burkina Faso,2.2,1957.81439741307,2542.575,-584.76060258693
Bangladesh,8.8,21040.4341526063,14454.46,6585.9741526063
Bulgaria,-2.4,2124.49930015648,6545.858,-4421.35869984352
Bahrain,#N/A,532.139483442618,2351.582,-1819.44251655738
"Bahamas, The",#N/A,223.870904979983,#N/A,#N/A
Bosnia and Herzegovina,1.9,845.989769368961,1985.039,-1139.04923063104
Belarus,-8.5,2236.24099128532,13617.654,-11381.4130087147
Belize,0.5,66.3850351309113,404.77,-338.384964869089
Bermuda,#N/A,109.036521054361,0,109.036521054361
Bolivia,3.1,1611.51361742872,9641.205,-8029.69138257128
Brazil,0.300000000000001,49636.5236137236,161542.451,-111905.927386276
Barbados,2.2,125.287400858794,95.057,30.230400858794
Brunei Darussalam,#N/A,289.263094189336,#N/A,#N/A
Bhutan,8.3,108.693263747856,935.979,-827.285736252144
Botswana,0.6,421.454549946202,1307.211,-885.756450053798
Central African Republic,5.2,561.376180291257,2329.397,-1768.02081970874
Canada,-1.2,30336.3749978677,77450.05,-47113.6750021323
Switzerland,-1.7,11575.2727203698,4268.329,7306.9437203698
Channel Islands,#N/A,138.588473990591,#N/A,#N/A
Chile,-0.6,5469.46095953669,8436.156,-2966.69504046331
China,2.3,295315.170665831,437355.823,-142040.652334169
Cote d'Ivoire,#N/A,3021.47538556987,10061.215,-7039.73961443013
Cameroon,0.6,2673.80001803055,5788.677,-3114.87698196945
Democratic Republic of Congo,#N/A,7956.39065926024,25320.324,-17363.9333407398
Congo,#N/A,640.545792314832,3555.772,-2915.22620768517
Colombia,2.8,9373.87524499013,28783.399,-19409.5237550099
Comoros,8.8,90.742324571866,45.832,44.910324571866
Cabo Verde,#N/A,87.0837727845637,#N/A,#N/A
Costa Rica,3.6,1183.41292245648,2545.06,-1361.64707754352
Cuba,3.8,2631.69922972308,7257.3,-4625.60077027692
Curacao,#N/A,56.5897440851527,0,56.5897440851527
Cayman Islands,#N/A,51.6596981373241,#N/A,#N/A
Cyprus,-0.199999999999999,494.393685602068,417.438,76.955685602068
Czechia,#N/A,4481.64887651204,14916.925,-10435.276123488
Germany,-2.8,76460.411996241,114769.649,-38309.237003759
Djibouti,7.7,119.526447969537,85.846,33.680447969537
Dominica,1.9,19.5287405564466,15.704,3.8247405564466
Denmark,-2.4,6334.30397000407,6830.093,-495.78902999593
Dominican Republic,2.1,2107.29824651502,2707.348,-600.04975348498
Algeria,8,6957.47230556789,10936.758,-3979.28569443211
Ecuador,1.8,2964.4268825105,7774.241,-4809.8141174895
Egypt,8.6,13830.9109664426,13046.727,784.183966442599
Eritrea,7.9,343.248162665022,470.773,-127.524837334978
Spain,-2.2,27631.5617873769,21949.162,5682.3997873769
Estonia,-1.3,537.27823683866,2503.907,-1966.62876316134
Ethiopia,4.8,10297.7440829264,15709.225,-5411.4809170736
Finland,-3.3,5029.63820957701,8457.51,-3427.87179042299
Fiji,6,184.994843935962,250.925,-65.930156064038
France,-3.2,54305.8934303291,57504.453,-3198.5595696709
Faroe Islands,#N/A,46.8590527503767,0,46.8590527503767
"Micronesia, Fed. Sts.",#N/A,20.1128417096397,#N/A,#N/A
Gabon,-1.9,422.782414399188,1983.628,-1560.84558560081
United Kingdom,-2.6,55153.7652862961,102180.977,-47027.2117137039
Georgia,1.3,869.075276448888,1318.141,-449.065723551112
Ghana,4.2,3443.91692348294,3230.512,213.40492348294
Gibraltar,#N/A,4.58236783454989,#N/A,#N/A
Guinea,8.3,1431.8434115409,4374.787,-2942.9435884591
"Gambia, The",#N/A,226.00913077002,#N/A,#N/A
Guinea-Bissau,5,201.87187944444,367.158,-165.28612055556
Equatorial Guinea,2.4,273.108951219628,605.737,-332.628048780372
Greece,-1.3,5634.54474459872,6602.594,-968.04925540128
Grenada,-3.5,30.662677153304,15.377,15.285677153304
Greenland,#N/A,47.3517497554169,0,47.3517497554169
Guatemala,5.2,2441.69926441849,5393.214,-2951.51473558151
Guam,#N/A,76.2769690199925,#N/A,#N/A
Guyana,0.9,191.61998660839,1433.871,-1242.25101339161
Hong Kong,#N/A,5298.84054050864,2027.76,3271.08054050864
Honduras,5,1204.5063807789,3620.346,-2415.8396192211
Croatia,-3.2,1505.84464706407,2314.377,-808.53235293593
Haiti,2.6,1364.92069728755,1360.446,4.47469728755004
Hungary,-4.3,3747.55065684378,8105.372,-4357.82134315622
Indonesia,8.4,40748.4642419928,112884.394,-72135.9297580072
Isle of Man,#N/A,80.7993058185217,#N/A,#N/A
India,4.7,173339.895181157,172220.571,1119.32418115699
Ireland,-2.9,4985.86123596166,7185.544,-2199.68276403834
Iran,8,15102.295607632,34046.215,-18943.919392368
Iraq,8.5,5886.48973583759,11773.09,-5886.60026416241
Iceland,1.9,350.384929711015,396.413,-46.028070288985
Israel,6.2,5317.09436257628,3960.013,1357.08136257628
Italy,2.3,44798.7612437574,33823.67,10975.0912437574
Jamaica,4.1,612.993527072141,982.737,-369.743472927859
Jordan,8.3,1207.53305839425,1040.047,167.48605839425
Japan,1.8,116775.28546473,79836.909,36938.37646473
Kazakhstan,-1.3,4427.80324072407,30319.185,-25891.3817592759
Kenya,4.7,5168.666782978,6013.368,-844.701217022001
Kyrgyzstan,4.7,796.95325709103,1998.446,-1201.49274290897
Cambodia,3.5,1877.96838242141,5819.102,-3941.13361757859
Kiribati,6,16.048174868946,4.072,11.976174868946
St. Kitts and Nevis,#N/A,19.8480156890255,#N/A,#N/A
South Korea,-3.3,24880.4519691537,23598.631,1281.8209691537
Kuwait,8.9,2132.48098787638,5842.502,-3710.02101212362
Lao PDR,#N/A,877.022659267345,#N/A,#N/A
